words	frequency	left-entropy	right-entropy	combinality
效 	 1133 	 4.867434 	 4.071781 	 0 	 
势 	 1129 	 3.985970 	 4.905131 	 0 	 
技术 	 1121 	 5.792789 	 6.026090 	 0 	 
德 	 1117 	 6.544878 	 6.129913 	 0 	 
融 	 1107 	 1.569057 	 5.378597 	 0 	 
参 	 1103 	 6.740344 	 2.570198 	 0 	 
构 	 1100 	 2.374398 	 5.221158 	 0 	 
很 	 1098 	 6.250235 	 5.228558 	 0 	 
马 	 1097 	 6.033783 	 6.127263 	 0 	 
历 	 1095 	 5.593694 	 2.526944 	 0 	 
关系 	 1089 	 5.448310 	 4.659927 	 0 	 
副 	 1085 	 5.426840 	 4.197692 	 0 	 
积 	 1085 	 5.291279 	 2.710356 	 0 	 
林 	 1084 	 6.014884 	 6.208962 	 0 	 
住 	 1079 	 6.256701 	 4.855702 	 0 	 
费 	 1070 	 4.934941 	 5.655589 	 0 	 
国际 	 1062 	 5.921687 	 6.683970 	 0 	 
亿 	 1061 	 1.589334 	 3.105089 	 0 	 
活动 	 1060 	 6.492477 	 4.132988 	 0 	 
布 	 1049 	 4.911112 	 5.949440 	 0 	 
灾 	 1039 	 5.177515 	 4.371460 	 0 	 
走 	 1038 	 6.977088 	 5.203027 	 0 	 
坚 	 1038 	 5.086396 	 2.759130 	 0 	 
影 	 1036 	 5.493399 	 3.379769 	 0 	 
艺 	 1035 	 5.656913 	 2.918572 	 0 	 
重要 	 1035 	 4.358276 	 5.348415 	 0 	 
感 	 1029 	 6.511249 	 4.566785 	 0 	 
户 	 1029 	 5.395323 	 6.423482 	 0 	 
房 	 1026 	 4.783371 	 5.760622 	 0 	 
群众 	 1024 	 5.771724 	 6.200997 	 0 	 
史 	 1022 	 2.442549 	 6.032408 	 0 	 
演 	 1015 	 6.307511 	 4.469302 	 0 	 
真 	 1010 	 5.320460 	 5.575491 	 0 	 
部门 	 1010 	 5.022301 	 6.214735 	 0 	 
身 	 1009 	 5.943525 	 6.336906 	 0 	 
